Unique ID,Outplant Date,Site ID,Attachment Method,Source,Species,Genet ID,# of frags in cluster,Size,Monitoring Date,# Dead,# Missing,% Partial Mortality,Partial Mortality Cause?,Overall Condition,Comments
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF183,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,in-situ,OFAV,OF1,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF982,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,in-situ,OFAV,OF924,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF979,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF984,10,,5/17/2024,0,0,10,Tissue loss,2,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF990,10,,5/17/2024,0,0,5,Tissue loss,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF184,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,ex-situ,OFAV,OF979,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF990,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF185,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF1005,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF924,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF979,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,in-situ,OFAV,OF183,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF186,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,in-situ,OFAV,OF1,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF1,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF982,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF982,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,in-situ,OFAV,OF184,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF1005,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,in-situ,OFAV,OF1,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF990,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF183,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF1,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/concrete,ex-situ,OFAV,OF984,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,in-situ,OFAV,OF183,10,,5/17/2024,0,0,0,,1,
45397-HH-3,4/15/2024,HH-3,plug/epoxy,ex-situ,OFAV,OF1005,10,,5/17/2024,0,0,0,,1,
