Unique ID,Outplant Date,Site ID,Attachment Method,Source,Species,Genet ID,# of frags in cluster,Size,Monitoring Date,# Dead,# Missing,% Partial Mortality,Partial Mortality Cause?,Overall Condition,Comments
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PCLI,32,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PCLI,18,10,,6/5/2024,0,1,0,,2,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,MCAV,72,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/epoxy,ex-situ,OFAV,996,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/epoxy,ex-situ,MCAV,59,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/epoxy,ex-situ,OFAV,996,10,,6/5/2024,0,1,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PCLI,33,10,,6/5/2024,0,0,10,fish,2,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,MCAV,72,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PSTR,5,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/epoxy,ex-situ,OFAV,996,10,,6/5/2024,0,1,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PCLI,19,10,,6/5/2024,0,9,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PCLI,16,10,,6/5/2024,0,1,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,MCAV,1,10,,6/5/2024,0,1,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,MCAV,72,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PSTR,3,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PSTR,21,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,PSTR,2,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/cement,in-situ,MCAV,1,10,,6/5/2024,0,1,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/epoxy,ex-situ,OFAV,992,10,,6/5/2024,0,0,0,,1,
45420-MS-5,5/8/2024,MS-5,plug/epoxy,ex-situ,MCAV,59,10,,6/5/2024,0,1,0,,1,
